DATE,CPALTT01USM657N
1/01/2000,0.297088532
1/02/2000,0.592417062
1/03/2000,0.824499411
1/04/2000,0.058411215
1/05/2000,0.116754232
1/06/2000,0.524781341
1/07/2000,0.232018561
1/08/2000,0
1/09/2000,0.520833333
1/10/2000,0.172711572
1/11/2000,0.057471264
1/12/2000,-0.057438254
1/01/2001,0.632183908
1/02/2001,0.399771559
1/03/2001,0.227531286
1/04/2001,0.397275823
1/05/2001,0.4522329
1/06/2001,0.16882386
1/07/2001,-0.280898876
1/08/2001,0
1/09/2001,0.450704225
1/10/2001,-0.336511497
1/11/2001,-0.16882386
1/12/2001,-0.394588501
1/01/2002,0.226372383
1/02/2002,0.395256917
1/03/2002,0.562429696
1/04/2002,0.559284116
1/05/2002,0
1/06/2002,0.055617353
1/07/2002,0.111172874
1/08/2002,0.333148251
1/09/2002,0.166021029
1/10/2002,0.165745856
1/11/2002,0
1/12/2002,-0.220628792
1/01/2003,0.442233278
1/02/2003,0.770500826
1/03/2003,0.60076461
1/04/2003,-0.217155266
1/05/2003,-0.163220892
1/06/2003,0.108991826
1/07/2003,0.108873163
1/08/2003,0.380641653
1/09/2003,0.325027086
1/10/2003,-0.107991361
1/11/2003,-0.27027027
1/12/2003,-0.108401084
1/01/2004,0.488334238
1/02/2004,0.539956803
1/03/2004,0.644468314
1/04/2004,0.320170758
1/05/2004,0.585106383
1/06/2004,0.317292438
1/07/2004,-0.158144439
1/08/2004,0.05279831
1/09/2004,0.211081794
1/10/2004,0.526592944
1/11/2004,0.052383447
1/12/2004,-0.366492147
1/01/2005,0.21019443
1/02/2005,0.576822234
1/03/2005,0.782064651
1/04/2005,0.672529747
1/05/2005,-0.102774923
1/06/2005,0.051440329
1/07/2005,0.462724936
1/08/2005,0.511770727
1/09/2005,1.221995927
1/10/2005,0.201207243
1/11/2005,-0.803212851
1/12/2005,-0.4048583
1/01/2006,0.762195122
1/02/2006,0.201714574
1/03/2006,0.55359839
1/04/2006,0.850850851
1/05/2006,0.496277916
1/06/2006,0.197530864
1/07/2006,0.295712173
1/08/2006,0.196560197
1/09/2006,-0.490436488
1/10/2006,-0.542138985
1/11/2006,-0.148662042
1/12/2006,0.148883375
1/01/2007,0.305252725
1/02/2007,0.535036756
1/03/2007,0.910569585
1/04/2007,0.649616269
1/05/2007,0.611071867
1/06/2007,0.193797518
1/07/2007,-0.025437721
1/08/2007,-0.183390223
1/09/2007,0.275590741
1/10/2007,0.213919133
1/11/2007,0.593961787
1/12/2007,-0.067086313
1/01/2008,0.497057647
1/02/2008,0.290411218
1/03/2008,0.866821293
1/04/2008,0.606477839
1/05/2008,0.842088603
1/06/2008,1.007699693
1/07/2008,0.525101113
1/08/2008,-0.399156226
1/09/2008,-0.138301854
1/10/2008,-1.010133328
1/11/2008,-1.915289533
1/12/2008,-1.034247381
1/01/2009,0.435241738
1/02/2009,0.497293304
1/03/2009,0.243174846
1/04/2009,0.249636828
1/05/2009,0.288876383
1/06/2009,0.858989226
1/07/2009,-0.158558692
1/08/2009,0.224285004
1/09/2009,0.062548069
1/10/2009,0.096310119
1/11/2009,0.070775337
1/12/2009,-0.176119817
1/01/2010,0.341747357
1/02/2010,0.024920738
1/03/2010,0.410628354
1/04/2010,0.173688491
1/05/2010,0.077519735
1/06/2010,-0.097626708
1/07/2010,0.021104306
1/08/2010,0.138066428
1/09/2010,0.058173623
1/10/2010,0.124519889
1/11/2010,0.042064642
1/12/2010,0.171844079
1/01/2011,0.476323005
1/02/2011,0.493136503
1/03/2011,0.975107203
1/04/2011,0.643942954
1/05/2011,0.470418753
1/06/2011,-0.107096706
1/07/2011,0.088604567
1/08/2011,0.27575889
1/09/2011,0.151846212
1/10/2011,-0.206268263
1/11/2011,-0.084356133
1/12/2011,-0.246651638
1/01/2012,0.440019143
1/02/2012,0.440297355
1/03/2012,0.759455862
1/04/2012,0.30210295
1/05/2012,-0.117347937
1/06/2012,-0.146639688
